height_cm,weight_kg
170,73
160,95
188,90
165,78
175,70
165,100
175,78
175,86
160,55
160,75
180,82
155,90
186,88
180,89
180,75
175,115
190,92
168,105
165,58
172,84
160,64
162,98
184,87
163,77
185,86
178,87
187,89
158,92
168,62
158,73
172,75
178,120
178,72
164,102
168,71
162,76
185,88
166,107
155,50
176,85
182,78
155,71
163,67
171,108
163,57
183,90
176,78
163,99
158,63
176,118
169,63
171,81
182,84
157,91
174,67
166,79
158,52
179,88
174,76
161,97
185,80
161,74
155,61
174,113
171,74
150,88
173,66
164,77
166,69
180,125
161,56
181,91
179,74
159,72
162,65
182,122
150,45
173,84
177,80
156,94
164,68
167,109
157,53
174,85
181,85
160,101
183,76
157,72
162,54
154,90
173,75
179,121
177,71
162,100
167,70
175,117
183,86
170,111
188,83
164,103
156,60
176,119
166,60
155,91
159,53
161,98
186,81
172,114
153,47
152,87
181,77
181,124
176,69
177,118
159,96
166,108
163,101
151,86
180,123
170,60
170,80
192,94
170,110
165,70
168,82
172,65
172,112
191,95
185,92
178,79
159,93
176,68
167,80
169,73
169,106
167,61
177,86
179,81
153,89
190,85
169,82
159,62
173,116
154,48
158,95
171,64
168,107
164,58
157,93
174,115
152,46
189,84
160,56
178,73
165,59
172,66
157,52
183,77
170,74
177,79
166,70
181,84
159,63
173,76
168,70
175,80
162,66
179,82
164,67
182,86
171,82
166,78
179,89
161,75
184,92
164,78
177,87
156,72
170,81
168,80
175,85
163,76
187,89
191,93
186,90
183,88
158,66
160,68
174,83
172,82
150,88
180,125
153,89
182,122
156,94
167,109
160,101
173,116
154,90
179,121
