shape,texture,weight,label
1,1,-1,APPLE
1,1,-1,APPLE
1,1,1,ORANGE
1,1,-1,APPLE
1,-1,1,ORANGE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,1,ORANGE
-1,1,1,ORANGE
1,-1,1,ORANGE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,1,ORANGE
-1,1,1,ORANGE
1,-1,-1,APPLE
1,1,-1,ORANGE
1,1,-1,APPLE
1,1,-1,APPLE
1,1,-1,APPLE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,1,ORANGE
-1,1,-1,APPLE
1,1,-1,ORANGE
1,-1,1,ORANGE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,-1,APPLE
1,-1,1,ORANGE
1,1,-1,APPLE
-1,1,1,APPLE
1,1,-1,APPLE
1,1,-1,APPLE
1,1,1,APPLE
1,1,-1,APPLE
1,1,1,ORANGE
1,-1,1,APPLE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,1,ORANGE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,1,ORANGE
1,1,-1,APPLE
-1,1,1,ORANGE
1,1,-1,ORANGE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,-1,APPLE
-1,1,1,ORANGE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,1,APPLE
1,-1,-1,APPLE
1,1,-1,APPLE
-1,1,-1,ORANGE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,-1,APPLE
1,1,-1,APPLE
1,1,-1,APPLE
-1,1,-1,APPLE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,-1,APPLE
1,1,1,ORANGE
-1,1,-1,APPLE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,-1,APPLE
1,1,-1,APPLE
1,-1,1,ORANGE
-1,1,-1,APPLE
1,1,1,ORANGE
1,-1,-1,APPLE
1,-1,-1,APPLE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,-1,APPLE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,1,ORANGE
1,-1,1,ORANGE
1,1,-1,APPLE
1,1,-1,APPLE
-1,1,1,ORANGE
1,1,1,ORANGE
1,-1,-1,APPLE
1,1,1,ORANGE
-1,1,-1,APPLE
1,1,-1,APPLE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,-1,APPLE
1,1,1,APPLE
1,1,-1,APPLE
-1,1,-1,APPLE
1,1,1,ORANGE
1,1,-1,APPLE
1,1,1,ORANGE
-1,1,-1,APPLE
1,1,-1,APPLE
