height_cm,weight_kg,label
170,73,FIT
160,95,OBESE
188,90,FIT
165,78,OBESE
175,70,FIT
165,100,OBESE
175,78,FIT
175,86,OBESE
160,55,FIT
160,75,OBESE
180,82,FIT
155,90,OBESE
186,88,FIT
180,89,OBESE
180,75,FIT
175,115,OBESE
190,92,FIT
168,105,OBESE
165,58,FIT
172,84,OBESE
160,64,FIT
162,98,OBESE
184,87,FIT
163,77,OBESE
185,86,FIT
178,87,OBESE
187,89,FIT
158,92,OBESE
168,62,FIT
158,73,OBESE
172,75,FIT
178,120,OBESE
178,72,FIT
164,102,OBESE
168,71,FIT
162,76,OBESE
185,88,FIT
166,107,OBESE
155,50,FIT
176,85,OBESE
182,78,FIT
155,71,OBESE
163,67,FIT
171,108,OBESE
163,57,FIT
183,90,OBESE
176,78,FIT
163,99,OBESE
158,63,FIT
176,118,OBESE
169,63,FIT
171,81,OBESE
182,84,FIT
157,91,OBESE
174,67,FIT
166,79,OBESE
158,52,FIT
179,88,OBESE
174,76,FIT
161,97,OBESE
185,80,FIT
161,74,OBESE
155,61,FIT
174,113,OBESE
171,74,FIT
150,88,OBESE
173,66,FIT
164,77,OBESE
166,69,FIT
180,125,OBESE
161,56,FIT
181,91,OBESE
179,74,FIT
159,72,OBESE
162,65,FIT
182,122,OBESE
150,45,FIT
173,84,OBESE
177,80,FIT
156,94,OBESE
164,68,FIT
167,109,OBESE
157,53,FIT
174,85,OBESE
181,85,FIT
160,101,OBESE
183,76,FIT
157,72,OBESE
162,54,FIT
154,90,OBESE
173,75,FIT
179,121,OBESE
177,71,FIT
162,100,OBESE
167,70,FIT
175,117,OBESE
183,86,FIT
170,111,OBESE
188,83,FIT
164,103,OBESE
156,60,FIT
176,119,OBESE
166,60,FIT
155,91,OBESE
159,53,FIT
161,98,OBESE
186,81,FIT
172,114,OBESE
153,47,FIT
152,87,OBESE
181,77,FIT
181,124,OBESE
176,69,FIT
177,118,OBESE
159,96,OBESE
166,108,OBESE
163,101,OBESE
151,86,OBESE
180,123,OBESE
